AcctId,EOM,ClosingBal
18979,31/12/2020,61300.6
19103,31/01/2018,1370572.98
19103,28/02/2018,1479093.81
19103,31/03/2018,1501279.96
19103,30/04/2018,1492873.05
19103,31/05/2018,1585718.37
19103,30/06/2018,1458073.05
19103,31/07/2018,1463452.17
19103,31/08/2018,1466423.19
19103,30/09/2018,1430107.59
19103,31/10/2018,1396841.2
19103,30/11/2018,1451731.61
19103,31/12/2018,1430004.2
19103,31/01/2019,1531671.26
19103,28/02/2019,1535408.9
19103,31/03/2019,1550235.05
19103,30/04/2019,1564027.26
19103,31/05/2019,1621674.67
19103,30/06/2019,1744762.6
19103,31/07/2019,1777838.97
19103,31/08/2019,1805729.45
19103,30/09/2019,1774869.9
19103,31/10/2019,1778210.53
19103,30/11/2019,1789372.02
19103,31/12/2019,1828103.76
19103,31/01/2020,1792455.87
19103,29/02/2020,1543914.67
19103,31/03/2020,1577874.68
19103,30/04/2020,1640236.17
19103,31/05/2020,1645577.22
19103,30/06/2020,1634472.74
19103,31/07/2020,1687221.99
19103,31/08/2020,1702840.64
19103,30/09/2020,1718398.71
19103,31/10/2020,1780801.06
19103,30/11/2020,1820636.55
19103,31/12/2020,1820636.55
19204,31/01/2018,788295.01
19204,28/02/2018,821724.61
19204,31/03/2018,807751.34
19204,30/04/2018,770526.26
19204,31/05/2018,820075.64
19204,30/06/2018,727497.59
19204,31/07/2018,587391.95
19204,31/08/2018,569127.05
19204,30/09/2018,574754.72
19204,31/10/2018,544118.41
19204,30/11/2018,567492.16
19204,31/12/2018,531014.53
19204,31/01/2019,562758.39
19204,28/02/2019,557997.06
19204,31/03/2019,560638.52
19204,30/04/2019,568748.31
19204,31/05/2019,591619.84
19204,30/06/2019,598699.35
19204,31/07/2019,607026.05
19204,31/08/2019,581375.29
19204,30/09/2019,583505.45
19204,31/10/2019,584573.73
19204,30/11/2019,595447.47
19204,31/12/2019,604150.72
19204,31/01/2020,599564.35
19204,29/02/2020,537697.61
19204,31/03/2020,547413.09
19204,30/04/2020,567847.75
19204,31/05/2020,573112.43
19204,30/06/2020,574304.36
19204,31/07/2020,589955.35
19204,31/08/2020,595838.18
19204,30/09/2020,602592.04
19204,31/10/2020,615171.08
19204,30/11/2020,622877.19
19204,31/12/2020,622877.19
19213,31/01/2018,367972.43
19213,28/02/2018,407415.71
19213,31/03/2018,407103.2
19213,30/04/2018,402699.29
19213,31/05/2018,439379.26
19213,30/06/2018,407981.51
19213,31/07/2018,404884.62
19213,31/08/2018,391785.47
19213,30/09/2018,398841
19213,31/10/2018,373818.87
19213,30/11/2018,389555.61
19213,31/12/2018,392115.18
19213,31/01/2019,419286.01
19213,28/02/2019,420618.72
19213,31/03/2019,424481.27
19213,30/04/2019,437064.52
19213,31/05/2019,450244.73
19213,30/06/2019,458021.45
19213,31/07/2019,459218.59
19213,31/08/2019,466780.3
19213,30/09/2019,466713.22
19213,31/10/2019,468303.3
19213,30/11/2019,472631.09
19213,31/12/2019,485349.07
19213,31/01/2020,478612.54
19213,29/02/2020,428165.3
19213,31/03/2020,432303.32
19213,30/04/2020,445788.39
19213,31/05/2020,445635.16
19213,30/06/2020,445720.38
19213,31/07/2020,456912.33
19213,31/08/2020,458316.83
19213,30/09/2020,468218.11
19213,31/10/2020,482363.21
19213,30/11/2020,485029.4
19213,31/12/2020,485029.4
19256,31/01/2018,622530.08
19256,28/02/2018,622137.85
19256,31/03/2018,620132.04
19256,30/04/2018,598017.44
19256,31/05/2018,684085.89
19256,30/06/2018,607270.99
19256,31/07/2018,604899.79
19256,31/08/2018,605995.1
19256,30/09/2018,619959.63
19256,31/10/2018,593376.19
19256,30/11/2018,635327.24
19256,31/12/2018,635903.62
